Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,rouge1,rouge2,rougeL,sc_raw_samples,sc_parsed_samples
"five-time world champion michelle kwan withdrew from the #### us figure skating championships on wednesday , but will petition us skating officials for the chance to compete at the #### turin olympics .",injury leaves kwan 's olympic hopes in limbo,"assistant
<think>

</think>

Five-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition officials for a chance to compete in the Turin Olympics.","assistant
<think>

</think>

Five-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition officials for a chance to compete in the Turin Olympics.",510,250,760,0.7947891018739028,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"[""assistant\n<think>\n\n</think>\n\nFive-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition officials for a spot at the Turin Olympics."", ""assistant\n<think>\n\n</think>\n\nFive-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition officials for a chance to compete in the Turin Olympics."", ""assistant\n<think>\n\n</think>\n\nFive-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition officials for a chance to compete in the Turin Olympics."", ""assistant\n<think>\n\n</think>\n\nFive-time world champion Michelle Kwan withdrew from the U.S. Figure Skating Championships but plans to petition officials to compete in the Turin Olympics."", ""assistant\n<think>\n\n</think>\n\nFive-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition officials to compete in the upcoming Turin Olympics.""]","[""assistant\n<think>\n\n</think>\n\nFive-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition officials for a spot at the Turin Olympics."", ""assistant\n<think>\n\n</think>\n\nFive-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition officials for a chance to compete in the Turin Olympics."", ""assistant\n<think>\n\n</think>\n\nFive-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition officials for a chance to compete in the Turin Olympics."", ""assistant\n<think>\n\n</think>\n\nFive-time world champion Michelle Kwan withdrew from the U.S. Figure Skating Championships but plans to petition officials to compete in the Turin Olympics."", ""assistant\n<think>\n\n</think>\n\nFive-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition officials to compete in the upcoming Turin Olympics.""]"
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .,us business attacks tough immigration law,"ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .

Summary:
assistant
<think>

</think>

US business leaders criticized proposed legislation that would penalize companies for hiring illegal immigrants.","ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .

Summary:
assistant
<think>

</think>

US business leaders criticized proposed legislation that would penalize companies for hiring illegal immigrants.",415,345,760,0.7947891018739028,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"[""ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nUS business leaders criticized proposed legislation that would penalize companies for hiring illegal immigrants."", ""ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nUS business leaders criticized legislation proposed to penalize companies for hiring illegal immigrants."", ""ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nUS business leaders criticized proposed legislation that would punish companies for hiring illegal immigrants."", ""ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nUS business leaders criticized proposed legislation that would penalize companies for hiring illegal immigrants."", ""ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nU.S. business leaders criticized legislation proposed to penalize companies for hiring illegal immigrants.""]","[""ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nUS business leaders criticized proposed legislation that would penalize companies for hiring illegal immigrants."", ""ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nUS business leaders criticized legislation proposed to penalize companies for hiring illegal immigrants."", ""ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nUS business leaders criticized proposed legislation that would punish companies for hiring illegal immigrants."", ""ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nUS business leaders criticized proposed legislation that would penalize companies for hiring illegal immigrants."", ""ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nU.S. business leaders criticized legislation proposed to penalize companies for hiring illegal immigrants.""]"
general motors corp. said wednesday its us sales fell ##.# percent in december and four percent in #### with the biggest losses coming from passenger car sales .,gm december sales fall ## percent,"from passenger car sales .

Summary:
assistant
<think>

</think>

General Motors reported a year-over-year decline in US sales of 4% in December, with passenger car sales suffering the most significant losses.","from passenger car sales .

Summary:
assistant
<think>

</think>

General Motors reported a year-over-year decline in US sales of 4% in December, with passenger car sales suffering the most significant losses.",470,290,760,0.7947891018739028,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"[""from passenger car sales .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nGeneral Motors reported a year-over-year decline in US sales of 4% in December, with passenger car sales suffering the most significant losses."", ""from passenger car sales .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nGeneral Motors reported a year-over-year decline in US sales of 4% in December, with passenger car sales contributing to the biggest losses."", ""from passenger car sales .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nGeneral Motors reported a 4% decline in U.S. sales for the year, with December specifically seeing a drop of ##.#%, driven largely by losses in passenger car sales."", ""from passenger car sales .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nGeneral Motors reported a 4% decline in US sales in December, with passenger car sales suffering the most significant losses."", ""from passenger car sales .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nGeneral Motors reported a December US sales decline of 1.8% and a four-yearly drop of 4%, with passenger car sales suffering the most significant losses.""]","[""from passenger car sales .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nGeneral Motors reported a year-over-year decline in US sales of 4% in December, with passenger car sales suffering the most significant losses."", ""from passenger car sales .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nGeneral Motors reported a year-over-year decline in US sales of 4% in December, with passenger car sales contributing to the biggest losses."", ""from passenger car sales .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nGeneral Motors reported a 4% decline in U.S. sales for the year, with December specifically seeing a drop of ##.#%, driven largely by losses in passenger car sales."", ""from passenger car sales .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nGeneral Motors reported a 4% decline in US sales in December, with passenger car sales suffering the most significant losses."", ""from passenger car sales .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nGeneral Motors reported a December US sales decline of 1.8% and a four-yearly drop of 4%, with passenger car sales suffering the most significant losses.""]"
several thousand people gathered on wednesday evening on the main square in zagreb for a public draw and an open air party to celebrate the croatian capital 's second chance to host the women 's slalom world cup .,thousands of croatians celebrate before world cup slalom,"</think>

Thousands gathered in Zagreb's main square for a public draw and open-air party celebrating the city's second chance to host the women's slalom world cup.","</think>

Thousands gathered in Zagreb's main square for a public draw and open-air party celebrating the city's second chance to host the women's slalom world cup.",545,215,760,0.7947891018739028,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"[""</think>\n\nThousands gathered in Zagreb's main square for a public draw and open-air party to celebrate the city's chance to host the women's slalom world cup."", ""</think>\n\nThousands gathered in Zagreb's main square for a public draw and open-air party celebrating the city's second chance to host the women's slalom world cup."", ""</think>\n\nThousands gathered in Zagreb's main square for a public draw and open-air party celebrating the city's second chance to host the Women's Slalom World Cup."", ""</think>\n\nThousands gathered in Zagreb's main square Wednesday evening for a public draw and party to celebrate the city's second chance at hosting the women's slalom World Cup."", ""</think>\n\nThousands gathered in Zagreb's main square for a public draw and party to celebrate the city's second chance hosting the women's slalom World Cup.""]","[""</think>\n\nThousands gathered in Zagreb's main square for a public draw and open-air party to celebrate the city's chance to host the women's slalom world cup."", ""</think>\n\nThousands gathered in Zagreb's main square for a public draw and open-air party celebrating the city's second chance to host the women's slalom world cup."", ""</think>\n\nThousands gathered in Zagreb's main square for a public draw and open-air party celebrating the city's second chance to host the Women's Slalom World Cup."", ""</think>\n\nThousands gathered in Zagreb's main square Wednesday evening for a public draw and party to celebrate the city's second chance at hosting the women's slalom World Cup."", ""</think>\n\nThousands gathered in Zagreb's main square for a public draw and party to celebrate the city's second chance hosting the women's slalom World Cup.""]"
"us first lady laura bush and us secretary of state condoleezza rice will represent the united states later this month at the inauguration of liberia 's president-elect ellen johnson sirleaf , the white house said wednesday .",laura bush UNK rice to attend sirleaf 's inauguration in liberia,"</think>

US First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at Liberia's upcoming presidential inauguration of Ellen Johnson Sirleaf.","</think>

US First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at Liberia's upcoming presidential inauguration of Ellen Johnson Sirleaf.",545,215,760,0.7947891018739028,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"[""</think>\n\nUS First Lady Laura Bush and Secretary of State Condoleezza Rice are scheduled to represent the United States at the inauguration of Liberia's president-elect, Ellen Johnson Sirleaf, later this month."", ""</think>\n\nThe US First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at Liberia's inauguration of President-elect Ellen Johnson Sirleaf later this month."", ""</think>\n\nLaura Bush and Condoleezza Rice will represent the U.S. at Liberia's upcoming presidential inauguration."", ""</think>\n\nLaura Bush and Condoleezza Rice will represent the US at Liberia's upcoming presidential inauguration."", ""</think>\n\nUS First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at Liberia's upcoming presidential inauguration of Ellen Johnson Sirleaf.""]","[""</think>\n\nUS First Lady Laura Bush and Secretary of State Condoleezza Rice are scheduled to represent the United States at the inauguration of Liberia's president-elect, Ellen Johnson Sirleaf, later this month."", ""</think>\n\nThe US First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at Liberia's inauguration of President-elect Ellen Johnson Sirleaf later this month."", ""</think>\n\nLaura Bush and Condoleezza Rice will represent the U.S. at Liberia's upcoming presidential inauguration."", ""</think>\n\nLaura Bush and Condoleezza Rice will represent the US at Liberia's upcoming presidential inauguration."", ""</think>\n\nUS First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at Liberia's upcoming presidential inauguration of Ellen Johnson Sirleaf.""]"
"jack abramoff , a former lobbyist at the center of a mushrooming political scandal in washington , on wednesday pleaded guilty in a us court in miami to defrauding lenders in a florida gambling boat deal .",top republican lobbyist pleads guilty to florida fraud,"<think>

</think>

Jack Abramoff, a former lobbyist central to a political scandal, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal.","<think>

</think>

Jack Abramoff, a former lobbyist central to a political scandal, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal.",535,225,760,0.7947891018739028,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"[""<think>\n\n</think>\n\nJack Abramoff, a former lobbyist at the center of a Washington political scandal, pleaded guilty on Wednesday in a US court in Miami to defrauding lenders in a Florida gambling boat deal."", ""<think>\n\n</think>\n\nJack Abramoff, a former lobbyist central to a Washington political scandal, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal."", ""<think>\n\n</think>\n\nJack Abramoff, a former lobbyist central to a political scandal, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal."", ""<think>\n\n</think>\n\nJack Abramoff, a former lobbyist central to a political scandal, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal."", ""<think>\n\n</think>\n\nJack Abramoff, a former lobbyist central to a political scandal, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal.""]","[""<think>\n\n</think>\n\nJack Abramoff, a former lobbyist at the center of a Washington political scandal, pleaded guilty on Wednesday in a US court in Miami to defrauding lenders in a Florida gambling boat deal."", ""<think>\n\n</think>\n\nJack Abramoff, a former lobbyist central to a Washington political scandal, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal."", ""<think>\n\n</think>\n\nJack Abramoff, a former lobbyist central to a political scandal, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal."", ""<think>\n\n</think>\n\nJack Abramoff, a former lobbyist central to a political scandal, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal."", ""<think>\n\n</think>\n\nJack Abramoff, a former lobbyist central to a political scandal, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal.""]"
"somalia 's feuding president and parliament speaker have agreed a compromise in a bitter row over the appropriate seat for their fledgling transitional government , a yemeni official said wednesday .",somalia rivals in compromise on seat of government,"assistant
<think>

</think>

Somalia's feuding president and parliament speaker have reached a compromise regarding the seating arrangement for their transitional government.","assistant
<think>

</think>

Somalia's feuding president and parliament speaker have reached a compromise regarding the seating arrangement for their transitional government.",510,250,760,0.7947891018739028,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"[""assistant\n<think>\n\n</think>\n\nSomalia's feuding president and parliament speaker have reached a compromise on the appropriate seat for their transitional government."", ""assistant\n<think>\n\n</think>\n\nSomalia's feuding president and parliament speaker have reached a compromise regarding the seat for their transitional government."", ""assistant\n<think>\n\n</think>\n\nSomalia's feuding president and parliament speaker have reached a compromise regarding the seating arrangement for their new transitional government, according to a Yemeni official."", ""assistant\n<think>\n\n</think>\n\nSomalia's feuding president and parliament speaker have reached a compromise regarding the seating arrangement for their transitional government."", ""assistant\n<think>\n\n</think>\n\nSomalia's feuding president and parliament speaker have reached a compromise regarding the seating arrangement for their new transitional government, according to a Yemeni official.""]","[""assistant\n<think>\n\n</think>\n\nSomalia's feuding president and parliament speaker have reached a compromise on the appropriate seat for their transitional government."", ""assistant\n<think>\n\n</think>\n\nSomalia's feuding president and parliament speaker have reached a compromise regarding the seat for their transitional government."", ""assistant\n<think>\n\n</think>\n\nSomalia's feuding president and parliament speaker have reached a compromise regarding the seating arrangement for their new transitional government, according to a Yemeni official."", ""assistant\n<think>\n\n</think>\n\nSomalia's feuding president and parliament speaker have reached a compromise regarding the seating arrangement for their transitional government."", ""assistant\n<think>\n\n</think>\n\nSomalia's feuding president and parliament speaker have reached a compromise regarding the seating arrangement for their new transitional government, according to a Yemeni official.""]"
"a ##-hour strike by airport workers in portugal planned for friday over job security issues could lead to flight cancellations , union and airport officials said .",portuguese airport workers strike could ground flights on friday,"and airport officials said .

Summary:
assistant
<think>

</think>

Portugal's airport workers are planning a Friday strike over job security, which officials warn could result in flight cancellations.","and airport officials said .

Summary:
assistant
<think>

</think>

Portugal's airport workers are planning a Friday strike over job security, which officials warn could result in flight cancellations.",470,290,760,0.7947891018739028,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"[""and airport officials said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nPortugal's airport workers are planning a Friday strike over job security, which officials warn could result in flight cancellations."", ""and airport officials said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nPortugal airport workers are planning an hourly strike on Friday over job security concerns, which union and officials warn could result in flight cancellations."", ""and airport officials said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nPortuguese airport workers are scheduled to strike on Friday over job security concerns, a move officials warn could cause flight cancellations."", ""and airport officials said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nPortugal airport workers are planning an hourly strike on Friday over job security concerns, which union and officials warn could cause flight cancellations."", ""and airport officials said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nPortugal airport workers are planning an hour-long Friday strike over job security, which officials warn could cause flight cancellations.""]","[""and airport officials said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nPortugal's airport workers are planning a Friday strike over job security, which officials warn could result in flight cancellations."", ""and airport officials said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nPortugal airport workers are planning an hourly strike on Friday over job security concerns, which union and officials warn could result in flight cancellations."", ""and airport officials said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nPortuguese airport workers are scheduled to strike on Friday over job security concerns, a move officials warn could cause flight cancellations."", ""and airport officials said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nPortugal airport workers are planning an hourly strike on Friday over job security concerns, which union and officials warn could cause flight cancellations."", ""and airport officials said .\n\nSummary:\nassistant\n<think>\n\n</think>\n\nPortugal airport workers are planning an hour-long Friday strike over job security, which officials warn could cause flight cancellations.""]"
jose mourinho renewed his partnership with portuguese international maniche on wednesday when he completed the loan signing of the ##-year-old midfielder from dynamo moscow .,maniche renews partnership with mourinho,".

Summary:
assistant
<think>

</think>

Jose Mourinho has completed the loan signing of 35-year-old midfielder Maniche from Dynamo Moscow.",".

Summary:
assistant
<think>

</think>

Jose Mourinho has completed the loan signing of 35-year-old midfielder Maniche from Dynamo Moscow.",490,270,760,0.7947891018739028,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"["".\n\nSummary:\nassistant\n<think>\n\n</think>\n\nJorge Mourinho has renewed his partnership with Portuguese international Maniche, completing the loan signing of the 28-year-old midfielder from Dynamo Moscow."", "".\n\nSummary:\nassistant\n<think>\n\n</think>\n\nJose Mourinho has completed the loan signing of 35-year-old midfielder Maniche from Dynamo Moscow."", "".\n\nSummary:\nassistant\n<think>\n\n</think>\n\nJorge Mourinho has completed a loan signing of 31-year-old Portuguese midfielder Maniche from Dynamo Moscow."", "".\n\nSummary:\nassistant\n<think>\n\n</think>\n\nJorge Mourinho has renewed his partnership with Portuguese international Maniche, completing the loan signing of the 26-year-old midfielder from Dynamo Moscow."", "".\n\nSummary:\nassistant\n<think>\n\n</think>\n\nJose Mourinho has signed Maniche, a 26-year-old Portuguese midfielder from Dynamo Moscow, on loan.""]","["".\n\nSummary:\nassistant\n<think>\n\n</think>\n\nJorge Mourinho has renewed his partnership with Portuguese international Maniche, completing the loan signing of the 28-year-old midfielder from Dynamo Moscow."", "".\n\nSummary:\nassistant\n<think>\n\n</think>\n\nJose Mourinho has completed the loan signing of 35-year-old midfielder Maniche from Dynamo Moscow."", "".\n\nSummary:\nassistant\n<think>\n\n</think>\n\nJorge Mourinho has completed a loan signing of 31-year-old Portuguese midfielder Maniche from Dynamo Moscow."", "".\n\nSummary:\nassistant\n<think>\n\n</think>\n\nJorge Mourinho has renewed his partnership with Portuguese international Maniche, completing the loan signing of the 26-year-old midfielder from Dynamo Moscow."", "".\n\nSummary:\nassistant\n<think>\n\n</think>\n\nJose Mourinho has signed Maniche, a 26-year-old Portuguese midfielder from Dynamo Moscow, on loan.""]"
"hollywood is planning a new sequel to adventure flick `` ocean 's eleven , '' with star george clooney set to reprise his role as a charismatic thief in `` ocean 's thirteen , '' the entertainment press said wednesday .",hollywood shores up support for ocean 's thirteen,"Hollywood is planning a sequel to ""Ocean's Eleven,"" titled ""Ocean's Thirteen,"" starring George Clooney reprising his role as a charismatic thief.","Hollywood is planning a sequel to ""Ocean's Eleven,"" titled ""Ocean's Thirteen,"" starring George Clooney reprising his role as a charismatic thief.",555,205,760,0.7947891018739028,0.24878351869842366,0.24878351869842366,0.08860737831403641,0.2281516936531472,"[""Hollywood is planning a new sequel to the adventure film \""Ocean's Eleven,\"" titled \""Ocean's Thirteen,\"" starring George Clooney reprising his role as a charismatic thief."", ""Hollywood is planning a sequel titled \""Ocean's Thirteen,\"" starring George Clooney reprising his role as a charismatic thief in the \""Ocean's Eleven\"" franchise."", ""Hollywood is planning a new sequel, \""Ocean's Thirteen,\"" featuring George Clooney reprising his role as a charismatic thief."", ""Hollywood is developing \""Ocean's Thirteen,\"" a sequel to \""Ocean's Eleven\"" starring George Clooney reprising his role as the charismatic thief."", ""Hollywood is planning a sequel to \""Ocean's Eleven,\"" titled \""Ocean's Thirteen,\"" starring George Clooney reprising his role as a charismatic thief.""]","[""Hollywood is planning a new sequel to the adventure film \""Ocean's Eleven,\"" titled \""Ocean's Thirteen,\"" starring George Clooney reprising his role as a charismatic thief."", ""Hollywood is planning a sequel titled \""Ocean's Thirteen,\"" starring George Clooney reprising his role as a charismatic thief in the \""Ocean's Eleven\"" franchise."", ""Hollywood is planning a new sequel, \""Ocean's Thirteen,\"" featuring George Clooney reprising his role as a charismatic thief."", ""Hollywood is developing \""Ocean's Thirteen,\"" a sequel to \""Ocean's Eleven\"" starring George Clooney reprising his role as the charismatic thief."", ""Hollywood is planning a sequel to \""Ocean's Eleven,\"" titled \""Ocean's Thirteen,\"" starring George Clooney reprising his role as a charismatic thief.""]"
