Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,rouge1,rouge2,rougeL
"five-time world champion michelle kwan withdrew from the #### us figure skating championships on wednesday , but will petition us skating officials for the chance to compete at the #### turin olympics .",injury leaves kwan 's olympic hopes in limbo,"assistant
<think>

</think>

Five-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition officials to compete in the Turin Olympics.","assistant
<think>

</think>

Five-time world champion Michelle Kwan withdrew from the US Figure Skating Championships but plans to petition officials to compete in the Turin Olympics.",102,51,153,0.5855547681894677,0.253215246751966,0.253215246751966,0.0903922650758925,0.23025407299228115
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .,us business attacks tough immigration law,"ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .

Summary:
assistant
<think>

</think>

US business leaders criticized new legislation that would penalize companies for hiring illegal immigrants.","ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .

Summary:
assistant
<think>

</think>

US business leaders criticized new legislation that would penalize companies for hiring illegal immigrants.",83,70,153,0.5855547681894677,0.253215246751966,0.253215246751966,0.0903922650758925,0.23025407299228115
general motors corp. said wednesday its us sales fell ##.# percent in december and four percent in #### with the biggest losses coming from passenger car sales .,gm december sales fall ## percent,"from passenger car sales .

Summary:
assistant
<think>

</think>

General Motors reported a 4% decline in US sales for the year, with December sales falling 0.8%, driven primarily by losses in passenger car sales.","from passenger car sales .

Summary:
assistant
<think>

</think>

General Motors reported a 4% decline in US sales for the year, with December sales falling 0.8%, driven primarily by losses in passenger car sales.",94,59,153,0.5855547681894677,0.253215246751966,0.253215246751966,0.0903922650758925,0.23025407299228115
several thousand people gathered on wednesday evening on the main square in zagreb for a public draw and an open air party to celebrate the croatian capital 's second chance to host the women 's slalom world cup .,thousands of croatians celebrate before world cup slalom,"</think>

Thousands gathered in Zagreb's main square for a public draw and open-air party celebrating the city's second chance to host the women's slalom world cup.","</think>

Thousands gathered in Zagreb's main square for a public draw and open-air party celebrating the city's second chance to host the women's slalom world cup.",109,44,153,0.5855547681894677,0.253215246751966,0.253215246751966,0.0903922650758925,0.23025407299228115
"us first lady laura bush and us secretary of state condoleezza rice will represent the united states later this month at the inauguration of liberia 's president-elect ellen johnson sirleaf , the white house said wednesday .",laura bush UNK rice to attend sirleaf 's inauguration in liberia,"</think>

US First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at Liberia's upcoming inauguration of President-elect Ellen Johnson Sirleaf.","</think>

US First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at Liberia's upcoming inauguration of President-elect Ellen Johnson Sirleaf.",109,44,153,0.5855547681894677,0.253215246751966,0.253215246751966,0.0903922650758925,0.23025407299228115
"jack abramoff , a former lobbyist at the center of a mushrooming political scandal in washington , on wednesday pleaded guilty in a us court in miami to defrauding lenders in a florida gambling boat deal .",top republican lobbyist pleads guilty to florida fraud,"<think>

</think>

Jack Abramoff, a former lobbyist at the center of a political scandal, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal.","<think>

</think>

Jack Abramoff, a former lobbyist at the center of a political scandal, pleaded guilty in a Miami US court to defrauding lenders in a Florida gambling boat deal.",107,46,153,0.5855547681894677,0.253215246751966,0.253215246751966,0.0903922650758925,0.23025407299228115
"somalia 's feuding president and parliament speaker have agreed a compromise in a bitter row over the appropriate seat for their fledgling transitional government , a yemeni official said wednesday .",somalia rivals in compromise on seat of government,"assistant
<think>

</think>

Somalia's feuding president and parliament speaker have reached a compromise regarding the seat for their transitional government.","assistant
<think>

</think>

Somalia's feuding president and parliament speaker have reached a compromise regarding the seat for their transitional government.",102,51,153,0.5855547681894677,0.253215246751966,0.253215246751966,0.0903922650758925,0.23025407299228115
"a ##-hour strike by airport workers in portugal planned for friday over job security issues could lead to flight cancellations , union and airport officials said .",portuguese airport workers strike could ground flights on friday,"and airport officials said .

Summary:
assistant
<think>

</think>

Portugal airport workers are planning an hour-long strike on Friday over job security, which officials warn could cause flight cancellations.","and airport officials said .

Summary:
assistant
<think>

</think>

Portugal airport workers are planning an hour-long strike on Friday over job security, which officials warn could cause flight cancellations.",94,59,153,0.5855547681894677,0.253215246751966,0.253215246751966,0.0903922650758925,0.23025407299228115
jose mourinho renewed his partnership with portuguese international maniche on wednesday when he completed the loan signing of the ##-year-old midfielder from dynamo moscow .,maniche renews partnership with mourinho,".

Summary:
assistant
<think>

</think>

Jose Mourinho has completed the loan signing of 29-year-old Portuguese midfielder Maniche from Dynamo Moscow.",".

Summary:
assistant
<think>

</think>

Jose Mourinho has completed the loan signing of 29-year-old Portuguese midfielder Maniche from Dynamo Moscow.",98,55,153,0.5855547681894677,0.253215246751966,0.253215246751966,0.0903922650758925,0.23025407299228115
"hollywood is planning a new sequel to adventure flick `` ocean 's eleven , '' with star george clooney set to reprise his role as a charismatic thief in `` ocean 's thirteen , '' the entertainment press said wednesday .",hollywood shores up support for ocean 's thirteen,"Hollywood is planning a sequel to ""Ocean's Eleven"" titled ""Ocean's Thirteen,"" starring George Clooney reprising his role as a charismatic thief.","Hollywood is planning a sequel to ""Ocean's Eleven"" titled ""Ocean's Thirteen,"" starring George Clooney reprising his role as a charismatic thief.",111,42,153,0.5855547681894677,0.253215246751966,0.253215246751966,0.0903922650758925,0.23025407299228115
