Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,rouge1,rouge2,rougeL
"five-time world champion michelle kwan withdrew from the #### us figure skating championships on wednesday , but will petition us skating officials for the chance to compete at the #### turin olympics .",injury leaves kwan 's olympic hopes in limbo,"assistant
<think>

</think>

Five-time world champion Michelle Kwan withdrew from the U.S. Figure Skating Championships but plans to petition for a spot at the Turin Olympics.","assistant
<think>

</think>

Five-time world champion Michelle Kwan withdrew from the U.S. Figure Skating Championships but plans to petition for a spot at the Turin Olympics.",102,45,147,0.44575804593841895,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .,us business attacks tough immigration law,"ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .

Summary:
assistant
<think>

</think>

US business leaders criticized Wednesday proposed legislation that would penalize companies for hiring illegal immigrants.","ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .

Summary:
assistant
<think>

</think>

US business leaders criticized Wednesday proposed legislation that would penalize companies for hiring illegal immigrants.",83,64,147,0.44575804593841895,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
general motors corp. said wednesday its us sales fell ##.# percent in december and four percent in #### with the biggest losses coming from passenger car sales .,gm december sales fall ## percent,"from passenger car sales .

Summary:
assistant
<think>

</think>

General Motors reported a decline in U.S. sales of ##.# percent in December and four percent in ####, with passenger car sales accounting for the largest losses.","from passenger car sales .

Summary:
assistant
<think>

</think>

General Motors reported a decline in U.S. sales of ##.# percent in December and four percent in ####, with passenger car sales accounting for the largest losses.",94,53,147,0.44575804593841895,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
several thousand people gathered on wednesday evening on the main square in zagreb for a public draw and an open air party to celebrate the croatian capital 's second chance to host the women 's slalom world cup .,thousands of croatians celebrate before world cup slalom,"</think>

Thousands gathered in Zagreb on Wednesday evening for a public draw and party to celebrate the city's second chance to host the women's slalom World Cup.","</think>

Thousands gathered in Zagreb on Wednesday evening for a public draw and party to celebrate the city's second chance to host the women's slalom World Cup.",109,38,147,0.44575804593841895,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"us first lady laura bush and us secretary of state condoleezza rice will represent the united states later this month at the inauguration of liberia 's president-elect ellen johnson sirleaf , the white house said wednesday .",laura bush UNK rice to attend sirleaf 's inauguration in liberia,"</think>

First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at the inauguration of Liberia's president-elect Ellen Johnson Sirleaf later this month.","</think>

First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at the inauguration of Liberia's president-elect Ellen Johnson Sirleaf later this month.",109,38,147,0.44575804593841895,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"jack abramoff , a former lobbyist at the center of a mushrooming political scandal in washington , on wednesday pleaded guilty in a us court in miami to defrauding lenders in a florida gambling boat deal .",top republican lobbyist pleads guilty to florida fraud,"<think>

</think>

Jack Abramoff, a former lobbyist at the center of a political scandal, pleaded guilty in a Miami court to defrauding lenders in a Florida gambling boat deal.","<think>

</think>

Jack Abramoff, a former lobbyist at the center of a political scandal, pleaded guilty in a Miami court to defrauding lenders in a Florida gambling boat deal.",107,40,147,0.44575804593841895,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"somalia 's feuding president and parliament speaker have agreed a compromise in a bitter row over the appropriate seat for their fledgling transitional government , a yemeni official said wednesday .",somalia rivals in compromise on seat of government,"assistant
<think>

</think>

Somali President and Parliament Speaker have reached a compromise on seating arrangements for their transitional government, according to a Yemeni official.","assistant
<think>

</think>

Somali President and Parliament Speaker have reached a compromise on seating arrangements for their transitional government, according to a Yemeni official.",102,45,147,0.44575804593841895,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"a ##-hour strike by airport workers in portugal planned for friday over job security issues could lead to flight cancellations , union and airport officials said .",portuguese airport workers strike could ground flights on friday,"and airport officials said .

Summary:
assistant
<think>

</think>

Portuguese airport workers are planning a one-hour strike on Friday over job security, which may cause flight cancellations.","and airport officials said .

Summary:
assistant
<think>

</think>

Portuguese airport workers are planning a one-hour strike on Friday over job security, which may cause flight cancellations.",94,53,147,0.44575804593841895,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
jose mourinho renewed his partnership with portuguese international maniche on wednesday when he completed the loan signing of the ##-year-old midfielder from dynamo moscow .,maniche renews partnership with mourinho,".

Summary:
assistant
<think>

</think>

Jose Mourinho has renewed his partnership with Portuguese international Maniche by completing the loan signing of the midfielder from Dynamo Moscow.",".

Summary:
assistant
<think>

</think>

Jose Mourinho has renewed his partnership with Portuguese international Maniche by completing the loan signing of the midfielder from Dynamo Moscow.",98,49,147,0.44575804593841895,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"hollywood is planning a new sequel to adventure flick `` ocean 's eleven , '' with star george clooney set to reprise his role as a charismatic thief in `` ocean 's thirteen , '' the entertainment press said wednesday .",hollywood shores up support for ocean 's thirteen,"Hollywood is planning a new sequel, ""Ocean's Thirteen,"" starring George Clooney, to follow the success of ""Ocean's Eleven.""","Hollywood is planning a new sequel, ""Ocean's Thirteen,"" starring George Clooney, to follow the success of ""Ocean's Eleven.""",111,36,147,0.44575804593841895,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"canada advised its nationals wednesday to avoid non-essential travel to nepal , following the resumption of a maoist rebel insurgency in the himalayan kingdom .",canada recommends avoiding travel to nepal,".

Summary:
assistant
<think>

</think>

Canada has advised its nationals to avoid non-essential travel to Nepal due to the resumption of Maoist rebel insurgency.",".

Summary:
assistant
<think>

</think>

Canada has advised its nationals to avoid non-essential travel to Nepal due to the resumption of Maoist rebel insurgency.",98,49,147,0.44575804593841895,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"us auto sales will likely be weaker in #### , a senior executive at ford motor company said wednesday .",ford executive sees weaker us auto sales in ####,"weaker in #### , a senior executive at ford motor company said wednesday .

Summary:
assistant
<think>

</think>

A Ford executive predicts weaker U.S. auto sales for the upcoming year.","weaker in #### , a senior executive at ford motor company said wednesday .

Summary:
assistant
<think>

</think>

A Ford executive predicts weaker U.S. auto sales for the upcoming year.",84,63,147,0.44575804593841895,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
the united states on wednesday welcomed beijing 's early release of a chinese journalist jailed for exposing top-level graft but said it remain concerned over the lack of freedom in the world 's most populous nation .,us welcomes chinese journalist 's release highlights freedom concerns,"assistant
<think>

</think>

The U.S. welcomed China's early release of a journalist jailed for exposing corruption but expressed continued concern over the country's lack of press freedom.","assistant
<think>

</think>

The U.S. welcomed China's early release of a journalist jailed for exposing corruption but expressed continued concern over the country's lack of press freedom.",105,42,147,0.44575804593841895,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"two bank workers on wednesday admitted stealing almost ###,### pounds -lrb- ###,### euros -rrb- from the accounts of three former manchester city footballers .",two bankers admit theft from city players,"Summary:
assistant
<think>

</think>

Two bank workers admitted stealing nearly £###,### (€###,###) from the accounts of three former Manchester City footballers on Wednesday.","Summary:
assistant
<think>

</think>

Two bank workers admitted stealing nearly £###,### (€###,###) from the accounts of three former Manchester City footballers on Wednesday.",100,47,147,0.44575804593841895,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"israeli prime minister ariel sharon was admitted to hospital early for a planned heart procedure after feeling unwell wednesday evening , his office said .",unwell sharon admitted to hospital early,", his office said .

Summary:
assistant
<think>

</think>

Israeli Prime Minister Ariel Sharon was admitted to the hospital for a planned heart procedure after feeling unwell.",", his office said .

Summary:
assistant
<think>

</think>

Israeli Prime Minister Ariel Sharon was admitted to the hospital for a planned heart procedure after feeling unwell.",94,53,147,0.44575804593841895,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"sales of hybrid UNK vehicles in the united states should more than triple over the next seven years , a leading research firm said wednesday .",us hybrid vehicle sales expect to more than triple in seven years,"a leading research firm said wednesday .

Summary:
assistant
<think>

</think>

A leading research firm predicts that hybrid vehicle sales in the U.S. will more than triple over the next seven years.","a leading research firm said wednesday .

Summary:
assistant
<think>

</think>

A leading research firm predicts that hybrid vehicle sales in the U.S. will more than triple over the next seven years.",91,56,147,0.44575804593841895,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
the los angeles dodgers acquired south korean right-hander jae seo from the new york mets on wednesday in a four-player swap .,korea 's seo headed to dodgers from mets,"on wednesday in a four-player swap .

Summary:
assistant
<think>

</think>

The Los Angeles Dodgers acquired South Korean right-hander Jae Seo from the New York Mets in a four-player trade on Wednesday.","on wednesday in a four-player swap .

Summary:
assistant
<think>

</think>

The Los Angeles Dodgers acquired South Korean right-hander Jae Seo from the New York Mets in a four-player trade on Wednesday.",93,66,159,0.5536256546256482,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"teenage hollywood starlet lindsay lohan , who was rushed to hospital this week after suffering an asthma attack , has admitted fighting a fierce battle with the eating disorder bulimia .",hollywood starlet lindsay lohan admits bulimia battle,"imia .

Summary:
assistant
<think>

</think>

Lindsay Lohan, a teenage Hollywood starlet hospitalized for an asthma attack, has admitted to struggling with bulimia.","imia .

Summary:
assistant
<think>

</think>

Lindsay Lohan, a teenage Hollywood starlet hospitalized for an asthma attack, has admitted to struggling with bulimia.",100,59,159,0.5536256546256482,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"the white house vigorously rejected wednesday suggestions that us soldiers in iraq do not hesitate to fire on civilians , after a bombing killed eight iraqi non-combatants , including two children .",us insists soldiers act with restraint to protect civilians,"Summary:
assistant
<think>

</think>

The White House firmly rejected claims that U.S. soldiers in Iraq hesitate to fire on civilians following a bombing that killed eight Iraqi non-combatants, including two children.","Summary:
assistant
<think>

</think>

The White House firmly rejected claims that U.S. soldiers in Iraq hesitate to fire on civilians following a bombing that killed eight Iraqi non-combatants, including two children.",102,57,159,0.5536256546256482,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"the us special envoy to multilateral talks aimed at ending north korea 's nuclear weapons drive has quit , the state department said wednesday amid reported divisions within the administration over the nuclear issue .",us special envoy to korean nuclear talks quits,"Summary:
assistant
<think>

</think>

The U.S. Special Envoy to multilateral talks on North Korea's nuclear program resigned Wednesday, reportedly due to divisions within the administration regarding the issue.","Summary:
assistant
<think>

</think>

The U.S. Special Envoy to multilateral talks on North Korea's nuclear program resigned Wednesday, reportedly due to divisions within the administration regarding the issue.",102,57,159,0.5536256546256482,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"at least two people have tested positive for the bird flu virus in eastern turkey , health minister recep akdag told a news conference wednesday .",two test positive for bird flu virus in turkey,"minister recep akdag told a news conference wednesday .

Summary:
assistant
<think>

</think>

Health Minister Recep Akdag confirmed that at least two people in eastern Turkey have tested positive for bird flu.","minister recep akdag told a news conference wednesday .

Summary:
assistant
<think>

</think>

Health Minister Recep Akdag confirmed that at least two people in eastern Turkey have tested positive for bird flu.",91,68,159,0.5536256546256482,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"britain 's un envoy on wednesday urged stronger international support , including greater eu funding , for the african union -lrb- au -rrb- peacekeeping mission in sudan 's troubled darfur region to improve security on the ground .",britain urges stronger international support for au in darfur,Britain's UN envoy called for increased EU funding and stronger international support to enhance the African Union's peacekeeping mission in Sudan's Darfur region.,Britain's UN envoy called for increased EU funding and stronger international support to enhance the African Union's peacekeeping mission in Sudan's Darfur region.,114,45,159,0.5536256546256482,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"australian foreign minister alexander downer called wednesday for the reform of the un security council and expressed support for brazil , india , japan and an african country to join the council .",australia backs brazil others for un security council,".

Summary:
assistant
<think>

</think>

Australian Foreign Minister Alexander Downer called for UN Security Council reform and supported the inclusion of Brazil, India, Japan, and an African nation.",".

Summary:
assistant
<think>

</think>

Australian Foreign Minister Alexander Downer called for UN Security Council reform and supported the inclusion of Brazil, India, Japan, and an African nation.",101,58,159,0.5536256546256482,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"two egyptian border guards were killed wednesday in clashes with palestinian militants near the rafah crossing on the border with gaza , a medical source said .",two egyptian guards killed on border with gaza,", a medical source said .

Summary:
assistant
<think>

</think>

Two Egyptian border guards were killed in clashes with Palestinian militants near the Rafah crossing on Wednesday.",", a medical source said .

Summary:
assistant
<think>

</think>

Two Egyptian border guards were killed in clashes with Palestinian militants near the Rafah crossing on Wednesday.",96,63,159,0.5536256546256482,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"stephen harper and his conservative party pulled ahead of prime minister paul martin 's liberals wednesday , weeks before canada 's federal election on january ## , according to the latest poll .",conservatives gain momentum ahead of ruling liberals,"Summary:
assistant
<think>

</think>

A recent poll indicates that Stephen Harper's Conservative Party has taken the lead over Prime Minister Paul Martin's Liberals ahead of Canada's upcoming federal election.","Summary:
assistant
<think>

</think>

A recent poll indicates that Stephen Harper's Conservative Party has taken the lead over Prime Minister Paul Martin's Liberals ahead of Canada's upcoming federal election.",102,57,159,0.5536256546256482,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
dutch bank abn amro was hit wednesday with its second us fine in two months after settling a government probe into its mortgage lending in the industrial state of michigan .,abn amro hit with second us fine,"michigan .

Summary:
assistant
<think>

</think>

ABN AMRO, a Dutch bank, received its second US fine in two months after settling a government investigation into its mortgage lending practices in Michigan.","michigan .

Summary:
assistant
<think>

</think>

ABN AMRO, a Dutch bank, received its second US fine in two months after settling a government investigation into its mortgage lending practices in Michigan.",99,60,159,0.5536256546256482,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"the buffalo bills sacked tom donahoe as president and general manager on wednesday , fulfilling expectations of a shake-up after another failure to make the national football league playoffs .",nfl 's bills shake up front office,"national football league playoffs .

Summary:
assistant
<think>

</think>

The Buffalo Bills fired president and general manager Tom Donahoe on Wednesday following another playoff miss.","national football league playoffs .

Summary:
assistant
<think>

</think>

The Buffalo Bills fired president and general manager Tom Donahoe on Wednesday following another playoff miss.",97,62,159,0.5536256546256482,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
tottenham sealed a miserable festive period for a toothless manchester city here wednesday with a #-# win thanks to goals from their confident striking duo of ahmed mido and robbie keane .,spurs compound manchester city woes,":
assistant
<think>

</think>

Tottenham defeated a struggling Manchester City 2-0 on Wednesday with goals from Ahmed Mido and Robbie Keane, marking a dismal festive period for the visitors.",":
assistant
<think>

</think>

Tottenham defeated a struggling Manchester City 2-0 on Wednesday with goals from Ahmed Mido and Robbie Keane, marking a dismal festive period for the visitors.",104,55,159,0.5536256546256482,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
"the dollar fell to a two-month low against the euro wednesday on expectations that us interest rates will soon stop going up , depriving the greenback of its biggest investment appeal .",us rate outlook sends dollar to two-month low against euro,"investment appeal .

Summary:
assistant
<think>

</think>

The dollar dropped to a two-month low against the euro on Wednesday, as expectations that U.S. interest rate hikes are ending reduced the currency's investment appeal.","investment appeal .

Summary:
assistant
<think>

</think>

The dollar dropped to a two-month low against the euro on Wednesday, as expectations that U.S. interest rate hikes are ending reduced the currency's investment appeal.",99,60,159,0.5536256546256482,0.24933150234789514,0.24933150234789514,0.08775163453270597,0.22548630709265782
