Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,accuracy,macro_f1,in_context,context_indices,retrieval_scores
im feeling rather rotten so im not very ambitious right now,sadness,sadness,": anger

Target input text:
im feeling rather rotten so im not very ambitious right now

Label:
assistant
<think>

</think>

sadness",400,36,436,0.14635323674883693,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
im updating my blog because i feel shitty,sadness,sadness,"times less bitchy
label: anger

Target input text:
im updating my blog because i feel shitty

Label:
assistant
<think>

</think>

sadness",397,39,436,0.14635323674883693,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i never make her separate from me because i don t ever want her to feel like i m ashamed with her,sadness,love,"to feel like i m ashamed with her

Label:
assistant
<think>

</think>

love",411,25,436,0.14635323674883693,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,joy,joy,"feeling slightly more optimistic than when i arrived

Label:
assistant
<think>

</think>

joy",411,25,436,0.14635323674883693,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i was feeling a little vain when i did this one,sadness,joy,": anger

Target input text:
i was feeling a little vain when i did this one

Label:
assistant
<think>

</think>

joy",400,36,436,0.14635323674883693,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i cant walk into a shop anywhere where i do not feel uncomfortable,fear,fear,"input text:
i cant walk into a shop anywhere where i do not feel uncomfortable

Label:
assistant
<think>

</think>

fear",402,34,436,0.14635323674883693,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i felt anger when at the end of a telephone call,anger,anger,": anger

Target input text:
i felt anger when at the end of a telephone call

Label:
assistant
<think>

</think>

anger",400,36,436,0.14635323674883693,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,joy,sadness,sadness,431,5,436,0.14635323674883693,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i like to have the same breathless feeling as a reader eager to see what will happen next,joy,joy,"feeling as a reader eager to see what will happen next

Label:
assistant
<think>

</think>

joy",408,28,436,0.14635323674883693,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,anger,anger,"assistant
<think>

</think>

anger",425,11,436,0.14635323674883693,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i don t feel particularly agitated,fear,anger,"i feel times less bitchy
label: anger

Target input text:
i don t feel particularly agitated

Label:
assistant
<think>

</think>

anger",396,40,436,0.14635323674883693,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i feel beautifully emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey,sadness,love,"baba on our journey

Label:
assistant
<think>

</think>

love",414,22,436,0.14635323674883693,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i pay attention it deepens into a feeling of being invaded and helpless,fear,fear,":
i pay attention it deepens into a feeling of being invaded and helpless

Label:
assistant
<think>

</think>

fear",403,33,436,0.14635323674883693,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i just feel extremely comfortable with the group of people that i dont even need to hide myself,joy,love,"the group of people that i dont even need to hide myself

Label:
assistant
<think>

</think>

love",407,29,436,0.14635323674883693,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i find myself in the odd position of feeling supportive of,love,joy,": anger

Target input text:
i find myself in the odd position of feeling supportive of

Label:
assistant
<think>

</think>

joy",400,36,436,0.14635323674883693,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i was feeling as heartbroken as im sure katniss was,sadness,sadness,"input text:
i was feeling as heartbroken as im sure katniss was

Label:
assistant
<think>

</think>

sadness",402,34,436,0.14635323674883693,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i feel a little mellow today,joy,joy,"surprise
input text: i feel times less bitchy
label: anger

Target input text:
i feel a little mellow today

Label:
assistant
<think>

</think>

joy",396,45,441,0.1475062012541457,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i feel like my only role now would be to tear your sails with my pessimism and discontent,sadness,sadness,"my only role now would be to tear your sails with my pessimism and discontent

Label:
assistant
<think>

</think>

sadness",408,33,441,0.1475062012541457,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows about our fight,anger,anger,"let the world knows about our fight

Label:
assistant
<think>

</think>

anger",417,24,441,0.1475062012541457,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i feel like reds and purples are just so rich and kind of perfect,joy,joy,"text:
i feel like reds and purples are just so rich and kind of perfect

Label:
assistant
<think>

</think>

joy",405,36,441,0.1475062012541457,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
im not sure the feeling of loss will ever go away but it may dull to a sweet feeling of nostalgia at what i shared in this life with my dad and the luck i had to have a dad for years,sadness,sadness,"<think>

</think>

sadness",431,10,441,0.1475062012541457,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
i feel like ive gotten to know many of you through comments and emails and for that im appreciative and glad you are a part of this little space,joy,joy,"part of this little space

Label:
assistant
<think>

</think>

joy",419,22,441,0.1475062012541457,0.586,0.586,0.501939201230306,"For example,
input text: i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner
label: sadness
input text: i asked them to join me in creating a world where all year old girls could grow up feeling hopeful and powerful
label: joy
input text: i feel when you are a caring person you attract other caring people into your life
label: love
input text: i sometimes feel so vulnerable and so lost
label: fear
input text: i think you would all agree that feeling your toes and fingers go numb is perhaps one of the most unpleasant feelings ever
label: sadness
input text: i feel like i should be thrilled and i am but at the same time i feel like crap
label: joy
input text: i always had a feeling of being in shape and became increasingly frustrated with the daily accumulation of body fat elusive
label: anger
input text: i can honestly say that every good thing in my life right now is crashing down and i feel too stubborn to ask for help
label: anger
input text: i had the feeling he didnt and he actually seemed impressed with me or i should say my work and my range of skills
label: surprise
input text: i feel times less bitchy
label: anger","[10476, 1824, 409, 12149, 4506, 4012, 3657, 2286, 12066, 1679]",[]
