Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,rouge1,rouge2,rougeL,sv_initial_raw,sv_verified_raw
"five-time world champion michelle kwan withdrew from the #### us figure skating championships on wednesday , but will petition us skating officials for the chance to compete at the #### turin olympics .",injury leaves kwan 's olympic hopes in limbo,"assistant
<think>

</think>

Five-time world champion Michelle Kwan withdrew from the U.S. Figure Skating Championships but plans to petition for a spot at the Turin Olympics.","assistant
<think>

</think>

Five-time world champion Michelle Kwan withdrew from the U.S. Figure Skating Championships but plans to petition for a spot at the Turin Olympics.",238,87,325,1.3390963087513228,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,"assistant
<think>

</think>

Five-time world champion Michelle Kwan withdrew from the U.S. Figure Skating Championships but plans to petition for a spot at the Turin Olympics.","assistant
<think>

</think>

Five-time world champion Michelle Kwan withdrew from the U.S. Figure Skating Championships but plans to petition for a spot at the Turin Olympics."
us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .,us business attacks tough immigration law,"for hiring illegal immigrants.

Final summary:
assistant
<think>

</think>

US business leaders criticized Wednesday proposed legislation that would penalize companies for hiring illegal immigrants.","for hiring illegal immigrants.

Final summary:
assistant
<think>

</think>

US business leaders criticized Wednesday proposed legislation that would penalize companies for hiring illegal immigrants.",207,118,325,1.3390963087513228,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,"ashed out wednesday at legislation that would penalize companies for employing illegal immigrants .

Summary:
assistant
<think>

</think>

US business leaders criticized Wednesday proposed legislation that would penalize companies for hiring illegal immigrants.","for hiring illegal immigrants.

Final summary:
assistant
<think>

</think>

US business leaders criticized Wednesday proposed legislation that would penalize companies for hiring illegal immigrants."
general motors corp. said wednesday its us sales fell ##.# percent in december and four percent in #### with the biggest losses coming from passenger car sales .,gm december sales fall ## percent,"</think>

General Motors reported a decline in U.S. sales of ##.# percent in December and four percent in ####, with passenger car sales accounting for the largest losses.","</think>

General Motors reported a decline in U.S. sales of ##.# percent in December and four percent in ####, with passenger car sales accounting for the largest losses.",233,92,325,1.3390963087513228,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,"from passenger car sales .

Summary:
assistant
<think>

</think>

General Motors reported a decline in U.S. sales of ##.# percent in December and four percent in ####, with passenger car sales accounting for the largest losses.","</think>

General Motors reported a decline in U.S. sales of ##.# percent in December and four percent in ####, with passenger car sales accounting for the largest losses."
several thousand people gathered on wednesday evening on the main square in zagreb for a public draw and an open air party to celebrate the croatian capital 's second chance to host the women 's slalom world cup .,thousands of croatians celebrate before world cup slalom,"</think>

Thousands gathered in Zagreb on Wednesday evening for a public draw and party to celebrate the city's second chance to host the women's slalom World Cup.","</think>

Thousands gathered in Zagreb on Wednesday evening for a public draw and party to celebrate the city's second chance to host the women's slalom World Cup.",249,76,325,1.3390963087513228,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,"</think>

Thousands gathered in Zagreb on Wednesday evening for a public draw and party to celebrate the city's second chance to host the women's slalom World Cup.","</think>

Thousands gathered in Zagreb on Wednesday evening for a public draw and party to celebrate the city's second chance to host the women's slalom World Cup."
"us first lady laura bush and us secretary of state condoleezza rice will represent the united states later this month at the inauguration of liberia 's president-elect ellen johnson sirleaf , the white house said wednesday .",laura bush UNK rice to attend sirleaf 's inauguration in liberia,First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at the inauguration of Liberia's president-elect Ellen Johnson Sirleaf later this month.,First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at the inauguration of Liberia's president-elect Ellen Johnson Sirleaf later this month.,251,74,325,1.3390963087513228,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,"</think>

First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at the inauguration of Liberia's president-elect Ellen Johnson Sirleaf later this month.",First Lady Laura Bush and Secretary of State Condoleezza Rice will represent the United States at the inauguration of Liberia's president-elect Ellen Johnson Sirleaf later this month.
"jack abramoff , a former lobbyist at the center of a mushrooming political scandal in washington , on wednesday pleaded guilty in a us court in miami to defrauding lenders in a florida gambling boat deal .",top republican lobbyist pleads guilty to florida fraud,"Jack Abramoff, a former lobbyist at the center of a political scandal, pleaded guilty in a Miami court to defrauding lenders in a Florida gambling boat deal.","Jack Abramoff, a former lobbyist at the center of a political scandal, pleaded guilty in a Miami court to defrauding lenders in a Florida gambling boat deal.",249,76,325,1.3390963087513228,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,"<think>

</think>

Jack Abramoff, a former lobbyist at the center of a political scandal, pleaded guilty in a Miami court to defrauding lenders in a Florida gambling boat deal.","Jack Abramoff, a former lobbyist at the center of a political scandal, pleaded guilty in a Miami court to defrauding lenders in a Florida gambling boat deal."
"somalia 's feuding president and parliament speaker have agreed a compromise in a bitter row over the appropriate seat for their fledgling transitional government , a yemeni official said wednesday .",somalia rivals in compromise on seat of government,"summary:
assistant
<think>

</think>

Somali President and Parliament Speaker have reached a compromise on seating arrangements for their transitional government, according to a Yemeni official.","summary:
assistant
<think>

</think>

Somali President and Parliament Speaker have reached a compromise on seating arrangements for their transitional government, according to a Yemeni official.",233,92,325,1.3390963087513228,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,"assistant
<think>

</think>

Somali President and Parliament Speaker have reached a compromise on seating arrangements for their transitional government, according to a Yemeni official.","summary:
assistant
<think>

</think>

Somali President and Parliament Speaker have reached a compromise on seating arrangements for their transitional government, according to a Yemeni official."
"a ##-hour strike by airport workers in portugal planned for friday over job security issues could lead to flight cancellations , union and airport officials said .",portuguese airport workers strike could ground flights on friday,"summary:
assistant
<think>

</think>

Portuguese airport workers are planning a one-hour strike on Friday over job security, which may cause flight cancellations.","summary:
assistant
<think>

</think>

Portuguese airport workers are planning a one-hour strike on Friday over job security, which may cause flight cancellations.",225,100,325,1.3390963087513228,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,"and airport officials said .

Summary:
assistant
<think>

</think>

Portuguese airport workers are planning a one-hour strike on Friday over job security, which may cause flight cancellations.","summary:
assistant
<think>

</think>

Portuguese airport workers are planning a one-hour strike on Friday over job security, which may cause flight cancellations."
jose mourinho renewed his partnership with portuguese international maniche on wednesday when he completed the loan signing of the ##-year-old midfielder from dynamo moscow .,maniche renews partnership with mourinho,"Final summary:
assistant
<think>

</think>

Jose Mourinho has renewed his partnership with Portuguese international Maniche by completing the loan signing of the midfielder from Dynamo Moscow.","Final summary:
assistant
<think>

</think>

Jose Mourinho has renewed his partnership with Portuguese international Maniche by completing the loan signing of the midfielder from Dynamo Moscow.",228,97,325,1.3390963087513228,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,".

Summary:
assistant
<think>

</think>

Jose Mourinho has renewed his partnership with Portuguese international Maniche by completing the loan signing of the midfielder from Dynamo Moscow.","Final summary:
assistant
<think>

</think>

Jose Mourinho has renewed his partnership with Portuguese international Maniche by completing the loan signing of the midfielder from Dynamo Moscow."
"hollywood is planning a new sequel to adventure flick `` ocean 's eleven , '' with star george clooney set to reprise his role as a charismatic thief in `` ocean 's thirteen , '' the entertainment press said wednesday .",hollywood shores up support for ocean 's thirteen,"<think>

</think>

Hollywood is planning a new sequel, ""Ocean's Thirteen,"" with George Clooney reprising his role as a charismatic thief.","<think>

</think>

Hollywood is planning a new sequel, ""Ocean's Thirteen,"" with George Clooney reprising his role as a charismatic thief.",249,76,325,1.3390963087513228,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,"Hollywood is planning a new sequel, ""Ocean's Thirteen,"" starring George Clooney, to follow the success of ""Ocean's Eleven.""","<think>

</think>

Hollywood is planning a new sequel, ""Ocean's Thirteen,"" with George Clooney reprising his role as a charismatic thief."
"canada advised its nationals wednesday to avoid non-essential travel to nepal , following the resumption of a maoist rebel insurgency in the himalayan kingdom .",canada recommends avoiding travel to nepal,"summary:
assistant
<think>

</think>

Canada has advised its nationals to avoid non-essential travel to Nepal following the resumption of Maoist rebel insurgency.","summary:
assistant
<think>

</think>

Canada has advised its nationals to avoid non-essential travel to Nepal following the resumption of Maoist rebel insurgency.",229,96,325,1.3390963087513228,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,".

Summary:
assistant
<think>

</think>

Canada has advised its nationals to avoid non-essential travel to Nepal due to the resumption of Maoist rebel insurgency.","summary:
assistant
<think>

</think>

Canada has advised its nationals to avoid non-essential travel to Nepal following the resumption of Maoist rebel insurgency."
"us auto sales will likely be weaker in #### , a senior executive at ford motor company said wednesday .",ford executive sees weaker us auto sales in ####,"sales for the upcoming year.

Final summary:
assistant
<think>

</think>

A Ford executive predicts weaker U.S. auto sales for the upcoming year.","sales for the upcoming year.

Final summary:
assistant
<think>

</think>

A Ford executive predicts weaker U.S. auto sales for the upcoming year.",207,118,325,1.3390963087513228,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,"weaker in #### , a senior executive at ford motor company said wednesday .

Summary:
assistant
<think>

</think>

A Ford executive predicts weaker U.S. auto sales for the upcoming year.","sales for the upcoming year.

Final summary:
assistant
<think>

</think>

A Ford executive predicts weaker U.S. auto sales for the upcoming year."
the united states on wednesday welcomed beijing 's early release of a chinese journalist jailed for exposing top-level graft but said it remain concerned over the lack of freedom in the world 's most populous nation .,us welcomes chinese journalist 's release highlights freedom concerns,"<think>

</think>

The U.S. welcomed China's early release of a journalist jailed for exposing corruption but expressed continued concern over the country's lack of press freedom.","<think>

</think>

The U.S. welcomed China's early release of a journalist jailed for exposing corruption but expressed continued concern over the country's lack of press freedom.",243,82,325,1.3390963087513228,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,"assistant
<think>

</think>

The U.S. welcomed China's early release of a journalist jailed for exposing corruption but expressed continued concern over the country's lack of press freedom.","<think>

</think>

The U.S. welcomed China's early release of a journalist jailed for exposing corruption but expressed continued concern over the country's lack of press freedom."
"two bank workers on wednesday admitted stealing almost ###,### pounds -lrb- ###,### euros -rrb- from the accounts of three former manchester city footballers .",two bankers admit theft from city players,"assistant
<think>

</think>

Two bank workers admitted stealing nearly £###,### (€###,###) from the accounts of three former Manchester City footballers on Wednesday.","assistant
<think>

</think>

Two bank workers admitted stealing nearly £###,### (€###,###) from the accounts of three former Manchester City footballers on Wednesday.",236,89,325,1.3390963087513228,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,"Summary:
assistant
<think>

</think>

Two bank workers admitted stealing nearly £###,### (€###,###) from the accounts of three former Manchester City footballers on Wednesday.","assistant
<think>

</think>

Two bank workers admitted stealing nearly £###,### (€###,###) from the accounts of three former Manchester City footballers on Wednesday."
"israeli prime minister ariel sharon was admitted to hospital early for a planned heart procedure after feeling unwell wednesday evening , his office said .",unwell sharon admitted to hospital early,"well.

Final summary:
assistant
<think>

</think>

Israeli Prime Minister Ariel Sharon was admitted to the hospital for a planned heart procedure after feeling unwell.","well.

Final summary:
assistant
<think>

</think>

Israeli Prime Minister Ariel Sharon was admitted to the hospital for a planned heart procedure after feeling unwell.",221,104,325,1.3390963087513228,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,", his office said .

Summary:
assistant
<think>

</think>

Israeli Prime Minister Ariel Sharon was admitted to the hospital for a planned heart procedure after feeling unwell.","well.

Final summary:
assistant
<think>

</think>

Israeli Prime Minister Ariel Sharon was admitted to the hospital for a planned heart procedure after feeling unwell."
"sales of hybrid UNK vehicles in the united states should more than triple over the next seven years , a leading research firm said wednesday .",us hybrid vehicle sales expect to more than triple in seven years,"summary:
assistant
<think>

</think>

A leading research firm predicts that hybrid vehicle sales in the U.S. will more than triple over the next seven years.","summary:
assistant
<think>

</think>

A leading research firm predicts that hybrid vehicle sales in the U.S. will more than triple over the next seven years.",222,103,325,1.3390963087513228,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,"a leading research firm said wednesday .

Summary:
assistant
<think>

</think>

A leading research firm predicts that hybrid vehicle sales in the U.S. will more than triple over the next seven years.","summary:
assistant
<think>

</think>

A leading research firm predicts that hybrid vehicle sales in the U.S. will more than triple over the next seven years."
the los angeles dodgers acquired south korean right-hander jae seo from the new york mets on wednesday in a four-player swap .,korea 's seo headed to dodgers from mets,"-player trade on Wednesday.

Final summary:
assistant
<think>

</think>

The Los Angeles Dodgers acquired South Korean right-hander Jae Seo from the New York Mets in a four-player trade on Wednesday.","-player trade on Wednesday.

Final summary:
assistant
<think>

</think>

The Los Angeles Dodgers acquired South Korean right-hander Jae Seo from the New York Mets in a four-player trade on Wednesday.",228,129,357,1.6644559649357689,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,"on wednesday in a four-player swap .

Summary:
assistant
<think>

</think>

The Los Angeles Dodgers acquired South Korean right-hander Jae Seo from the New York Mets in a four-player trade on Wednesday.","-player trade on Wednesday.

Final summary:
assistant
<think>

</think>

The Los Angeles Dodgers acquired South Korean right-hander Jae Seo from the New York Mets in a four-player trade on Wednesday."
"teenage hollywood starlet lindsay lohan , who was rushed to hospital this week after suffering an asthma attack , has admitted fighting a fierce battle with the eating disorder bulimia .",hollywood starlet lindsay lohan admits bulimia battle,"to struggling with bulimia.

Final summary:
assistant
<think>

</think>

Lindsay Lohan, a teenage Hollywood starlet hospitalized for an asthma attack, has admitted to struggling with bulimia.","to struggling with bulimia.

Final summary:
assistant
<think>

</think>

Lindsay Lohan, a teenage Hollywood starlet hospitalized for an asthma attack, has admitted to struggling with bulimia.",234,123,357,1.6644559649357689,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,"imia .

Summary:
assistant
<think>

</think>

Lindsay Lohan, a teenage Hollywood starlet hospitalized for an asthma attack, has admitted to struggling with bulimia.","to struggling with bulimia.

Final summary:
assistant
<think>

</think>

Lindsay Lohan, a teenage Hollywood starlet hospitalized for an asthma attack, has admitted to struggling with bulimia."
"the white house vigorously rejected wednesday suggestions that us soldiers in iraq do not hesitate to fire on civilians , after a bombing killed eight iraqi non-combatants , including two children .",us insists soldiers act with restraint to protect civilians,":
assistant
<think>

</think>

The White House rejected claims that U.S. soldiers in Iraq hesitate to fire on civilians after a bombing killed eight Iraqi non-combatants, including two children.",":
assistant
<think>

</think>

The White House rejected claims that U.S. soldiers in Iraq hesitate to fire on civilians after a bombing killed eight Iraqi non-combatants, including two children.",245,112,357,1.6644559649357689,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,"Summary:
assistant
<think>

</think>

The White House firmly rejected claims that U.S. soldiers in Iraq hesitate to fire on civilians following a bombing that killed eight Iraqi non-combatants, including two children.",":
assistant
<think>

</think>

The White House rejected claims that U.S. soldiers in Iraq hesitate to fire on civilians after a bombing killed eight Iraqi non-combatants, including two children."
"the us special envoy to multilateral talks aimed at ending north korea 's nuclear weapons drive has quit , the state department said wednesday amid reported divisions within the administration over the nuclear issue .",us special envoy to korean nuclear talks quits,"Final summary:
assistant
<think>

</think>

The U.S. Special Envoy to multilateral talks on North Korea's nuclear program resigned Wednesday amid reported divisions within the administration.","Final summary:
assistant
<think>

</think>

The U.S. Special Envoy to multilateral talks on North Korea's nuclear program resigned Wednesday amid reported divisions within the administration.",242,115,357,1.6644559649357689,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,"Summary:
assistant
<think>

</think>

The U.S. Special Envoy to multilateral talks on North Korea's nuclear program resigned Wednesday, reportedly due to divisions within the administration regarding the issue.","Final summary:
assistant
<think>

</think>

The U.S. Special Envoy to multilateral talks on North Korea's nuclear program resigned Wednesday amid reported divisions within the administration."
"at least two people have tested positive for the bird flu virus in eastern turkey , health minister recep akdag told a news conference wednesday .",two test positive for bird flu virus in turkey,"eastern Turkey have tested positive for bird flu.

Final summary:
assistant
<think>

</think>

Health Minister Recep Akdag confirmed that at least two people in eastern Turkey have tested positive for bird flu.","eastern Turkey have tested positive for bird flu.

Final summary:
assistant
<think>

</think>

Health Minister Recep Akdag confirmed that at least two people in eastern Turkey have tested positive for bird flu.",222,135,357,1.6644559649357689,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,"minister recep akdag told a news conference wednesday .

Summary:
assistant
<think>

</think>

Health Minister Recep Akdag confirmed that at least two people in eastern Turkey have tested positive for bird flu.","eastern Turkey have tested positive for bird flu.

Final summary:
assistant
<think>

</think>

Health Minister Recep Akdag confirmed that at least two people in eastern Turkey have tested positive for bird flu."
"britain 's un envoy on wednesday urged stronger international support , including greater eu funding , for the african union -lrb- au -rrb- peacekeeping mission in sudan 's troubled darfur region to improve security on the ground .",britain urges stronger international support for au in darfur,"Final summary:
assistant
<think>

</think>

Britain's UN envoy called for stronger international support and increased EU funding to improve security on the ground for the African Union's peacekeeping mission in Sudan's Darfur region.","Final summary:
assistant
<think>

</think>

Britain's UN envoy called for stronger international support and increased EU funding to improve security on the ground for the African Union's peacekeeping mission in Sudan's Darfur region.",255,102,357,1.6644559649357689,0.24832374458562903,0.24832374458562903,0.08730225311033508,0.22545434780015255,Britain's UN envoy called for increased EU funding and stronger international support to enhance the African Union's peacekeeping mission in Sudan's Darfur region.,"Final summary:
assistant
<think>

</think>

Britain's UN envoy called for stronger international support and increased EU funding to improve security on the ground for the African Union's peacekeeping mission in Sudan's Darfur region."
