Text,truth,pre,pred_raw,input_tokens,output_tokens,total_tokens,runtime,acc,accuracy,macro_f1,sv_initial_raw,sv_verified_raw
"no movement , no yuks , not much of anything .",negative,negative,"</think>

negative",211,40,251,0.2509485641930951,0.4751131221719457,0.4751131221719457,0.4061366760594848,"text:
no movement , no yuks , not much of anything .

Label:
assistant
<think>

</think>

negative","</think>

negative"
"a gob of drivel so sickly sweet , even the eager consumers of moore 's pasteurized ditties will retch it up like rancid crème brûlée .",very negative,very negative,very negative,239,12,251,0.2509485641930951,0.4751131221719457,0.4751131221719457,0.4061366760594848,"</think>

very negative",very negative
` how many more voyages can this limping but dearly-loved franchise survive ? ',neutral,negative,"</think>

negative",216,35,251,0.2509485641930951,0.4751131221719457,0.4751131221719457,0.4061366760594848,"limping but dearly-loved franchise survive ? '

Label:
assistant
<think>

</think>

negative","</think>

negative"
so relentlessly wholesome it made me want to swipe something .,neutral,neutral,"<think>

</think>

neutral",209,42,251,0.2509485641930951,0.4751131221719457,0.4751131221719457,0.4061366760594848,"Input text:
so relentlessly wholesome it made me want to swipe something .

Label:
assistant
<think>

</think>

neutral","<think>

</think>

neutral"
"gangs of new york is an unapologetic mess , whose only saving grace is that it ends by blowing just about everything up .",very negative,negative,"<think>

</think>

negative",225,26,251,0.2509485641930951,0.4751131221719457,0.4751131221719457,0.4061366760594848,"Label:
assistant
<think>

</think>

negative","<think>

</think>

negative"
"we never really feel involved with the story , as all of its ideas remain just that : abstract ideas .",very negative,negative,"</think>

negative",220,31,251,0.2509485641930951,0.4751131221719457,0.4751131221719457,0.4061366760594848,"just that : abstract ideas .

Label:
assistant
<think>

</think>

negative","</think>

negative"
this is one of polanski 's best films .,very positive,positive,"<think>

</think>

positive",209,42,251,0.2509485641930951,0.4751131221719457,0.4751131221719457,0.4061366760594848,"Input text:
this is one of polanski 's best films .

Label:
assistant
<think>

</think>

positive","<think>

</think>

positive"
take care of my cat offers a refreshingly different slice of asian cinema .,positive,positive,"</think>

positive",214,37,251,0.2509485641930951,0.4751131221719457,0.4751131221719457,0.4061366760594848,"my cat offers a refreshingly different slice of asian cinema .

Label:
assistant
<think>

</think>

positive","</think>

positive"
"acting , particularly by tambor , almost makes `` never again '' worthwhile , but -lrb- writer\/director -rrb- schaeffer should follow his titular advice",negative,neutral,neutral,236,15,251,0.2509485641930951,0.4751131221719457,0.4751131221719457,0.4061366760594848,"<think>

</think>

neutral",neutral
the movie exists for its soccer action and its fine acting .,positive,positive,"</think>

positive",211,40,251,0.2509485641930951,0.4751131221719457,0.4751131221719457,0.4061366760594848,"text:
the movie exists for its soccer action and its fine acting .

Label:
assistant
<think>

</think>

positive","</think>

positive"
